video_name,rating-indoor,rating-expanse,rating-object,rating-agent_distance,rating-facingness,rating-joint_action,rating-communication,rating-valence,rating-arousal,stimulus_set,captions
-YwZOeyAQC8_15.mp4,1,0.225,0.8958333333333334,0.0,0.0454545454545454,0.7,0.55,0.65,0.3409090909090909,train,"['A man sits playing video games on his TV while holding a baby, with two small dogs resting on a nearby sofa', 'A man with a baby on his lap playing Wii', 'A man in shorts sits in a chair next to a standard lamp, with a smiling baby on his lap, operating a Wii remote controller, while two small dogs are sat on a nearby sofa', 'A man playing on the wii which is making the baby chuckle while the dog ignores them from the other sofa', 'father & child enjoying a show']"
1AIVH5cEWrI_35.mp4,1,0.25,0.1041666666666666,0.075,1.0,0.825,0.9,0.675,0.3409090909090909,train,"[""Two friends singing and swaying together while looking into each other's eyes."", 'Two women sing together.', 'Two girls are dancing close together and facing each other.', 'Two females learning how to sing together in harmony.', 'Two young women are facing one another and swaying side-to-side while singing. ']"
2-8-0-2-5-4-8-8-5028025488_7.mp4,1,0.275,1.0,0.0454545454545454,0.05,0.575,0.5,0.675,0.075,train,"['A young girl sits looks at a book, turning the pages, while a younger child looks over her shoulder', 'A little girl around 6 years old is paging through a picture with her toddler sister', 'two sisters reading a book', 'Two children reading a book together.', 'two young children reading a book together', 'two siblings reading the book', ""Two toddlers flipping through a children's book\n"", 'Two children are reading a picture book; the older one turns a page and looks at it intently while sitting, and the younger one stands and points at it.', 'A young girl is reading a book and her little sister points to something on the page', 'A girl in a pink dress is looking through a book and her sibling is standing next to her, watching as she does this ', 'Girl and boy watching book']"
3PJaYWt0cws_5.mp4,0,0.625,1.0,0.725,0.3409090909090909,0.0227272727272727,0.15,0.6,0.4,test,"['A young boy skateboarding at a skate park.', 'A young boy is skateboarding down a ramp.  Another boy is sitting on the edge of the ramp watching him.', 'A boy is skateboarding down a ramp whilst another boy sits on the edge of the ramp and watches.', 'A boy riding a skateboard going down a ramp', 'A boy riding a skateboard down a ramp\n', 'A boy is riding a skateboard down a fairly small skateboard ramp whilst another boy watches him.', 'A boy is going down a ramp on a skateboard and another boy is sitting watching him.']"
7-5-1-0-3-6-9-8-3775103698_9.mp4,1,0.275,0.925,0.275,0.6363636363636364,0.75,0.825,0.7222222222222222,0.125,train,"['Q woman explaining a picture to a man.', 'two people discuss plans for a playground', 'One person is looking at and motioning towards a picture of a stadium and the other person is looking and listening.', 'Two people are looking at a basketball court map.', 'A woman is talking to another woman about a poster showing a playing field and gesturing her hands at the same time.']"
8-6-0-3-9-6-6-0-19586039660_4.mp4,1,0.325,0.95,0.2272727272727273,0.15,0.425,0.7272727272727273,0.65,0.35,train,"['two babies play with toy', 'Two kids playing with a toy dog.', 'two children interacting with what appears to be a toy dog.', 'Two small children are playing with a toy in their living room.', 'A girl and boy are playing with a toy cat, the girl picks something up and then sits down, the boy then reaches for his turn.', 'Kids playing with a teddy of cat or dog ']"
9hlyu-wDkg4_4.mp4,0,0.275,0.025,0.15,0.875,0.425,0.925,0.5,0.025,test,"['Two men are outside and talking.', 'Two adult males conversing in front of a house.', 'two males are talking about their gardening plans, and are preparing for the hot work.', 'There are two men, who seem to be discussing something, and one of the men, with his hands in his pockets seems to be dominating the conversation. ', 'Two men look around and talk.']"
9jw7D-exQDg_77.mp4,1,0.125,1.0,0.3,0.575,0.75,0.9,0.75,0.3863636363636364,train,"['two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks', 'A lady and a young girl sing into a microphone.', 'A little girl sings with a older female', 'Two girls, one significantly younger, sing into microphones at home.', '2 sisters are singing together']"
FJzKgF-nR0E_15.mp4,1,0.15,0.8,0.2954545454545455,0.95,0.5,0.6818181818181819,0.775,0.225,train,"['A woman playfully laughs at a child who looks back at her.', 'child playing with a baby', 'A baby is playing with there toys well an older girl is laughing with them.', 'The baby in the bouncy chair and the adult are enjoying a good time together.', 'A woman tries to entertain a baby.']"
FSQ2vBJ0hmw_20.mp4,1,0.2,0.225,0.1,0.0,0.1363636363636363,0.35,0.7777777777777778,0.225,train,"['Two babies are lying in the cot kicking their legs, one on his back the other is on his front', 'The babies are laying in the bed', 'Two very young babies are laying down on their backs and mildly squirming their legs. ', 'Two young babies are wriggling side by side in a cot.', 'Two young babies in baby gros together laid down.']"
IkTAuzVeD2Q_46.mp4,1,0.075,0.9,0.25,0.95,0.75,0.65,0.425,0.2,train,"['A child feeding another.', 'Two children are in a kitchen, the elder child is feeding the younger one.', 'A young girl who appears to perhaps be an elder sister is holding out a spoon of food and feeding it to a younger boy in a high chair wearing a bib. The young boy is taking the food and has food around his mouth and front.', 'Toddler feeding her baby brother or sister', 'one child feeding another in a highchair ']"
WJ-84ioZqcc_41.mp4,1,0.275,0.875,0.1,0.1,0.425,0.6,0.725,0.35,train,"['Two children play with toy balls on a bed.', 'two children playing', 'Two young children are playing on the bed', 'Two little brothers are laughing and playing together on a bed with their toys in their little hands.', 'Two children laugh and play with a basketball and a football. ']"
b7y36KyAIoI_120.mp4,1,0.175,0.825,0.2,0.475,0.525,0.975,0.675,0.225,train,"['A man is describing and discussing food with a woman beside him in a kitchen.', 'A man and a woman are standing in a kitchen, observing a plate of food. The man reaches for the food while the woman smiles.', 'Man speaking to female cook whilst trying food', 'A woman has baked some treats and a man looks like he is complimenting her work whilst tasting.', 'A woman laughs in a kitchen.']"
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,1,0.35,0.775,0.35,0.8409090909090909,0.375,0.875,0.35,0.325,train,"['A lady is sitting down and speaking into a microphone', 'A woman is singing to a man on stage.', 'Woman singing towards a man. ', 'A woman is talking or singing into a mic while looking at a man that is partially off camera.', 'a sister on the stage singing a song to her brother']"
eJRbWjg73fE_116.mp4,1,0.125,1.0,0.35,0.05,0.5227272727272727,0.75,0.775,0.05,train,"['Father showing teenager how to cook', 'a man with his son in the kitchen', 'A dad teaching a boy how to cook a dessert.', 'Baking a cake.', 'An adult and child cooking']"
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,0,0.775,0.775,0.85,0.0,0.0681818181818181,0.175,0.4722222222222222,0.2,train,"['Two people sea fishing on the edge of a metal fence.', 'Two people are separately fishing at a beach, they are not together.', 'Man playing with his fishing pole while a woman stands next to her fishing pole.', 'Two men fishing by a very windy coastline.', 'Two people quietly fishing by the ocean, waiting for the fish to bite.']"
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,1,0.45,1.0,0.6590909090909091,0.1,0.8055555555555556,0.7291666666666667,0.575,0.5454545454545454,train,"['Two women are on a stage singing. ', 'Two people are performing on stage, one sitting playing guitar and the other standing singing. They are aware of each other but not interacting.', 'A girl is sitting on the floor playing the guitar, while another girl is singing.', 'on a stafe with a black curtain behind them, a girl in an open checked top holds a microphone while a figure sits cross legged on the floor playing guitar', '2 teenage girls performing musical act']"
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,0.475,0.9772727272727272,0.475,0.15,0.825,0.7,0.55,0.3636363636363637,test,"['A man singing & playing the keyboard while the other plays drums.', 'One person is playing a keyboard and may be singing as there is a microphone in front of his mouth.  Another person is playing a drum and cymbal set.', 'One person is playing a keyboard, perhaps also singing and another person is playing a drum and cymbal set. ', 'A man playing the drums and another man on the keyboard', 'A drummer and a pinist playing together ', 'Two men are playing music together. One is sitting at his drum kit playing the drums and one is sitting playing a keyboard. They look like they are a band practising.', 'Two musicians are playing musical instruments.']"
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,1,0.075,0.875,0.0681818181818181,0.975,0.3888888888888889,0.7083333333333333,0.725,0.3863636363636364,train,"['A man is drinking a drink whilst the baby is laughing at him.', 'man playing with a baby', 'A man is drinking something from a straw well a baby is laughing at him', ""The adult is holding the baby's bottle and pretending to suck on it while the baby is laughing about it."", 'A baby laughs at a man drinking through a straw.']"
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,1,0.125,0.925,0.2,0.9545454545454546,0.525,0.95,0.85,0.2,train,"['Baby watching a child read them a picture story. ', 'The child is showing the baby the book.', 'A young child reads a book to a baby.', 'One child showing his baby sibling a book', 'a brother reading his baby brother a book ']"
